prioridad,score,etiquetas,title,company,location,mercado_final,is_remote,date_posted,site,busqueda,min_amount,max_amount,currency,job_url,description
P1,16,,Senior Brand Designer,Preply,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-09,linkedin,art director,,,,https://www.linkedin.com/jobs/view/4463858538,
P1,16,,Freelance Brand Lead,Omnicom Health,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-06,linkedin,art director,,,,https://www.linkedin.com/jobs/view/4445223686,
P1,16,,Senior Art Director  (Food & Lifestyle),Dragons Group,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-02,linkedin,art director,,,,https://www.linkedin.com/jobs/view/4459936659,
P1,16,,Senior Brand Designer & Art Director,Zazume,"Barcelona, Catalonia, Spain",barcelona,False,2026-08-31,linkedin,art director,,,,https://www.linkedin.com/jobs/view/4459214954,
P1,16,,Brand Strategist,DDB Spain,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-03,linkedin,creative strategist,,,,https://www.linkedin.com/jobs/view/4460704192,
P1,16,,Artificial Intelligence Engineer (Generative AI Engineer),Avanade,"Barcelona, CT, ES",barcelona,False,2017-12-27,indeed,generative ai design,,,,https://es.indeed.com/viewjob?jk=4130969b19d0ac32,"Job Description
  
**Why Avanade? Because there’s literally no place like this**

We have two parent companies that give us a strong Microsoft ecosystem with space to be ourselves. People who thrive here are motivated, interested in learning and genuinely have a desire to be the best at what they do. If that sounds like you, then we’re the perfect match. You will have the opportunity to utilize the most advanced technology within the Microsoft ecosystem, collaborating with some of the world's largest and most renowned companies, as well as working alongside highly intelligent individuals. This environment allows you to make a significant impact on your career trajectory. If you are looking to enhance your skills and drive transformation within businesses, there is no better place to be.


**The EME AI Delivery Hub**

AI—and particularly **Generative AI** —is expected to profoundly impact every company over the coming years. Thanks to Microsoft and Avanade’s strategic investments in AI and OpenAI, we are uniquely positioned to help our clients become **AI\-first organizations** .


The **EME AI Delivery Hub** is an Iberia\-based nearshore delivery center serving European and Middle Eastern clients, specialized in end\-to\-end AI and Advanced Analytics solutions. By joining the Hub, you will be part of a delivery pod working in an agile setup, owning AI initiatives from **problem framing and data exploration to model development, deployment, and adoption** . You will work closely with clients, guiding them throughout their AI and GenAI transformation journey.


**Job Overview**

As a **Senior Analyst – AI \& Data Science** , you will design, develop, and deliver AI\- and data\-driven solutions that help our clients achieve measurable business outcomes. This role combines **strong Data Science foundations** with **hands\-on AI engineering** , including recent GenAI use cases.


You will work across the full data science lifecycle: **data exploration, feature engineering, model development, evaluation, and deployment** , while also contributing to modern AI solutions such as **LLM\-based applications, NLP, computer vision, and predictive analytics** , primarily on **Microsoft Azure** .


**Key Role Responsibilities**

**Day\-to\-day you will:**

* Design and deliver **end\-to\-end Data Science and AI solutions** , from business understanding and data exploration to model deployment and monitoring.
* Perform **exploratory data analysis (EDA)** , feature engineering, and data preprocessing on structured and unstructured datasets.
* Develop, train, evaluate, and optimize **machine learning and deep learning models** , selecting appropriate algorithms and validation strategies.
* Contribute to **Generative AI solutions** , including LLM\-based applications, prompt engineering, RAG architectures, and applied NLP use cases.
* Translate business problems into analytical and ML formulations, clearly explaining trade\-offs and results to both technical and non\-technical stakeholders.
* Support the preparation of **client presentations, demos, and proposals** , articulating analytical insights and AI\-driven value.
* Stay up to date with the latest advancements in **Data Science, ML, DL, and GenAI** , and actively share knowledge within the team.
* Contribute to reusable assets such as **code templates, analytical frameworks, and internal training materials** .
* Collaborate with senior team members and architects to identify opportunities where advanced analytics and AI can transform client operations.

  
Qualification
  
**Key Role Skill \& Capability Requirements**

**Core Skills**

* Strong foundation in **Data Science and applied Machine Learning** , including supervised and unsupervised learning.
* Hands\-on experience with **ML/DL frameworks** (e.g., scikit\-learn, PyTorch, TensorFlow or equivalent).
* Solid understanding of **model evaluation, validation, and performance metrics** .
* Experience working with **structured and unstructured data** , including text data for NLP use cases.
* Proficiency in **Python** for data analysis and ML development.

**AI \& GenAI**

* Experience or strong interest in **Generative AI** , including LLMs, embeddings, prompt engineering, and retrieval\-based approaches.
* Familiarity with **NLP, computer vision, forecasting, or optimization** use cases is a strong plus.
* Exposure to **Azure AI / Azure Machine Learning / Azure OpenAI** is highly valued.

**Professional Skills**

* Strong analytical and problem\-solving mindset, with the ability to structure ambiguous problems.
* Ability to communicate insights clearly in **English and Spanish** , both written and verbal.
* Comfortable working in **agile, client\-facing environments** .

**Preferred Education Background**

You likely hold a **bachelor’s and/or master’s degree in computer science** , Data Science, Statistics, Mathematics, Physics, Engineering, or a related quantitative field. Equivalent practical experience is also valued.


**Preferred Years of Work Experience:**

* **3\+ years of applied experience** delivering Data Science, Machine Learning, or AI projects in real\-world environments.
* Experience over the last few years may be **heavily focused on GenAI** , but grounded in solid ML/DL and analytical fundamentals.

**What We offer**

* An accelerated and structured **training program on Microsoft Azure and AI services** .
* Hands\-on exposure to real client projects across **computer vision, NLP, forecasting, and GenAI (Azure OpenAI, chatbots, RAG)** .
* Continuous learning through certifications, mentoring, and internal communities of practice."
P1,16,,Head of Product Design,Impress,"Barcelona, CT, ES",barcelona,False,2026-09-07,indeed,head of ux,,,,https://es.indeed.com/viewjob?jk=21f738e696d97ce4,"Join Impress – Europe’s Leading Health\-Tech Innovator!


We believe everyone deserves a smile they’ll love . As the largest Ortho clinic chain in Europe, we combine cutting\-edge tech with expert care, revolutionizing invisible orthodontics since 2019\.


With 150\+ clinics across 10 countries and rapid growth, we’re improving lives worldwide.


We are looking for a Head of Design to join our Onsite Team in Barcelona.

  

Why we’re cool:

* Work with an international and multicultural team
* Competitive salary
* Teeth aligner and whitening benefits
* Collaborative work environment and positive culture
* Opportunities to grow within a fast\-paced, innovative company and real start\-up experience with big challenges
* Fresh fruits and healthy snacks at the office

  

What You'll Own:

* Define and lead the end\-to\-end design vision across web and mobile — from first patient interaction to treatment completion and retention.
* Set the design strategy and quality bar across the full product surface, ensuring consistency, scalability, and premium experience at every touchpoint.
* Build and evolve a robust design system that empowers the team to move fast without compromising quality.
* Lead and mentor a team of designers, fostering a culture of craft, collaboration, and evidence\-based decision\-making.
* Partner with Product, Growth, Engineering, and Clinical teams to shape experiences that drive conversion, activation, and retention.
* Translate complex clinical and regulated processes into simple, intuitive digital flows that build patient trust and confidence.
* Own the research and insights practice — embedding qualitative and quantitative methods into the design process.
* Act as the senior design voice in cross\-functional rooms, aligning stakeholders around a clear and compelling product vision.


Requirements:

* 8\+ years in Product Design, with at least 2–3 years in a design leadership role.
* Strong portfolio showcasing end\-to\-end product design across web and mobile.
* Proven experience leading design for conversion\-driven journeys (funnels, onboarding, booking flows).
* Experience building and scaling design systems in complex product environments.
* Strong UX thinking with ability to simplify regulated or clinically complex domains.
* Hands\-on with Figma and modern design workflows.
* Experience running or overseeing user research and data\-informed design.
* Excellent communication and stakeholder alignment skills.
* Fluent English — Spanish is a strong plus.

  

At Impress we cultivate a culture of inclusion and diversity. We celebrate our employees' individual strengths, views, and experiences and we encourage all candidates to apply, without regard to race, color, religion, gender identity, sexual orientation, age, national origin, disability, or any other factor."
P1,16,,Product Design Lead,Fever,"Barcelona, Catalonia, Spain",barcelona,False,2026-09-03,linkedin,head of ux,,,,https://www.linkedin.com/jobs/view/4460756478,
P1,15,,Social Art Director & Videographer - Madrid,INNOCV SOLUTIONS,"Madrid, MD, ES",espana,False,2026-09-07,indeed,creative director,,,,https://es.indeed.com/viewjob?jk=fadb66b035c1939a,"**¿Quiénes somos?**
-------------------


Somos una consultora internacional especializada en impulsar la evolución de los modelos de negocio de grandes y medianas empresas. Ayudamos a nuestros clientes a mejorar su competitividad conectando estrategia, comunicación, diseño, tecnología y datos, siempre con un enfoque práctico y orientado a generar impacto.


Contamos con un equipo de más de 2\.000 profesionales distribuidos en distintos países y trabajamos en proyectos end\-to\-end, acompañando a nuestros clientes desde la definición estratégica hasta la implementación, la medición y la optimización continua. Nuestro objetivo es transformar los datos en decisiones de negocio que generen resultados reales.


En esta ocasión, estamos colaborando con **Cosmic**, una empresa del grupo, en la búsqueda de talento para incorporar a su equipo y cubrir esta posición.

**¿Qué es Cosmic?**
-------------------

**Cosmic** es una agencia especializada en **Short Vertical Video**, el formato que domina plataformas como TikTok, Instagram Reels y YouTube Shorts. Como primer partner creativo de TikTok en Europa, ayuda a las marcas a conectar con sus audiencias a través de contenidos nativos, creativos y diseñados para maximizar su impacto.


Su equipo se encarga de diseñar, producir y optimizar contenidos que destacan en las plataformas donde hoy se generan las conversaciones y las tendencias, combinando creatividad, estrategia y un profundo conocimiento del ecosistema digital.

### **¿Qué buscamos?**

**¿Sabes que un buen TikTok no es un spot de 30 segundos puesto en vertical?**


Buscamos un/a **Social Art Director \& Videographer** con un ojo creativo brutal y una sensibilidad especial por el lenguaje de cada plataforma. Alguien que entienda qué hace que una idea funcione en social y que sea capaz de llevarla de principio a fin: **conceptualizarla, grabarla, editarla y convertirla en contenido que la gente quiera ver y compartir.**


No buscamos solo a alguien que sepa hacer vídeos bonitos. Buscamos a alguien que **entienda el lenguaje de internet, tenga criterio visual y sepa convertir una buena idea en contenido que funcione.**

### **Eres perfecto/a si**

* **Tienes 3\+ años de experiencia** en dirección de arte, diseño creativo o creación audiovisual, idealmente en agencia creativa, digital, productora o entorno social\-first.
* **Tu portfolio habla por ti.** Demuestra criterio visual, buenas ideas y, sobre todo, capacidad real para llevarlas a ejecución.
* **Tienes obsesión por el detalle.** Composición, fotografía, tipografía, color, ritmo… sabes que son los pequeños detalles los que hacen que una pieza pase de correcta a memorable.
* **Piensas en movimiento desde el principio.** No diseñas primero una pieza gráfica para convertirla después en vídeo: piensas en imagen, cámara, ritmo y narrativa desde el minuto uno.
* **Entiendes el lenguaje de cada plataforma.** Sabes que lo que funciona en TikTok no necesariamente funciona en Instagram o YouTube, y adaptas la idea sin perder su esencia.
* **Te mueves bien entre lo grande y lo rápido.** Puedes trabajar en una producción con todos los recursos o sacar adelante una pieza que tiene que estar publicada mañana.
* **Eres resourceful.** No necesitas una gran producción para hacer algo bueno: sabes sacar partido a un móvil, un equipo pequeño y los recursos que tengas a mano.
* **Eres proactivo/a.** Traes referencias, detectas tendencias, propones formatos y encuentras oportunidades incluso cuando nadie te ha dado todavía un brief.

### **¿Qué harás?**

* **Convertir ideas en contenido.** Conceptualizar y desarrollar ideas visuales y audiovisuales para campañas, contenido always\-on y oportunidades culturales en social.
* **Marcar la dirección visual.** Definir el look \& feel de contenidos y activaciones, construyendo una identidad reconocible sin caer en fórmulas o plantillas repetitivas.
* **Dar forma a las ideas.** Crear tratamientos visuales, referencias, moodboards, storyboards y planteamientos de realización que hagan que una idea cobre vida antes de llegar a producción.
* **Grabar y producir.** Coger una cámara o un smartphone y sacar adelante una pieza de principio a fin, adaptando los recursos a lo que necesita cada idea.
* **Resolver en modo social\-first.** Desde entrevistas y producto hasta creators, coberturas, contenido reactivo y formatos que necesitan salir rápido. Sabes moverte con soltura cuando el contexto cambia.
* **Editar y llevar las piezas hasta el final.** Montaje, ritmo, grafismo, motion, sonido y color, cuidando tanto el conjunto como cada detalle.
* **Pensar en cada plataforma.** Adaptar conceptos y piezas para TikTok, Reels, Stories, Shorts, YouTube, LinkedIn y otros formatos digitales, entendiendo qué funciona en cada entorno.
* **Trabajar pegado al equipo de contenido.** Colaborar con Content Manager y Social Intelligence para convertir tendencias, insights y oportunidades editoriales en ideas visuales que merezca la pena producir.
* **Experimentar con IA.** Incorporar herramientas generativas en tu proceso de ideación, preproducción y exploración visual, trabajando junto al AI Content Producer cuando la pieza requiera workflows más complejos.
* **Sacar lo mejor de los creators.** Dirigir a personas delante de cámara de forma natural, ágil y sin convertir cada grabación en un rodaje de película.
* **Defender tus ideas.** Presentar y argumentar conceptos y decisiones visuales ante equipos internos y clientes, sabiendo explicar no solo qué propones, sino por qué funciona.

### **Lo que tienes que dominar**

* **Portfolio con criterio.** Experiencia demostrable en creatividad social y audiovisual, con piezas que demuestren tanto buen ojo como capacidad de ejecución.
* **Cámara y móvil.** Capacidad profesional para grabar con cámara y smartphone, sabiendo elegir el equipo y el enfoque según lo que necesite cada pieza.
* **Lenguaje audiovisual.** Conocimientos sólidos de fotografía, composición, iluminación, encuadre, movimiento y narrativa audiovisual.
* **Herramientas de creación.** Dominio de Adobe Creative Cloud —Photoshop, Illustrator, Premiere y After Effects— y soltura con herramientas ágiles como CapCut.
* **Código social.** Conocimiento profundo de formatos, duraciones, hooks, ritmo y códigos visuales y narrativos de TikTok, Instagram/Reels y YouTube/Shorts.
* **IA aplicada a la creatividad.** Familiaridad con herramientas de IA generativa y criterio para incorporarlas en la ideación, preproducción y producción audiovisual cuando realmente aporten valor.

**Cómo trabajas**
-----------------

* **Piensas y haces a la vez.** Te gusta conceptualizar, pero también coger la cámara, probar, grabar y resolver. No eres de los que se quedan en la idea.
* **Sabes que manda la plataforma.** Entiendes sus códigos, su ritmo y lo que hace que una pieza funcione en cada canal. No haces “un vídeo y luego lo adaptas”: piensas nativamente para cada plataforma.
* **Encuentras el equilibrio.** Sabes mantener la identidad de marca sin perder relevancia cultural ni convertir cada contenido en una pieza demasiado corporativa.
* **Eres proactivo/a.** Traes referencias, detectas tendencias, propones formatos y encuentras oportunidades sin esperar a que llegue un brief perfectamente cerrado.

**¿Te gustaría crecer con nosotros/as?**
----------------------------------------


Si buscas un entorno donde la creatividad, la comunicación y la estrategia se unen para generar un impacto real en el negocio, esta puede ser tu oportunidad.


En esta ocasión, te incorporarás a **Cosmic**, una empresa del grupo, donde formarás parte de un equipo que está redefiniendo la forma en la que las marcas conectan con sus audiencias a través del contenido en plataformas como TikTok, Instagram Reels y YouTube Shorts.


Si te apasionan los retos, la innovación y el entorno digital, ¡queremos conocerte!


En línea con nuestro compromiso con la diversidad, la equidad y la inclusión, animamos a todas las personas a presentar su candidatura, especialmente a quienes forman parte de colectivos tradicionalmente infrarrepresentados, como las personas LGTBIQ\+ o las personas con discapacidad."
P1,15,,UI/UX Director,Jobgether,,espana,False,2026-09-10,linkedin,creative director,,,,https://www.linkedin.com/jobs/view/4464505164,
